,name,ep,lan
273,Reign of the Seven Spellblades,Ep 15/15,"SUB
DUB"
274,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),Ep 24/24,"SUB
DUB"
275,My Tiny Senpai,Ep 12/12,"SUB
DUB"
276,Classroom for Heroes,Ep 12/12,SUB
277,The Dreaming Boy is a Realist,Ep 12/12,"SUB
DUB"
278,"Reborn as a Vending Machine, Now I Wander the Dungeon",Ep 12/12,"SUB
DUB"
279,Dark Gathering,Ep 25/25,"SUB
DUB"
280,Am I Actually the Strongest?,Ep 12/12,"SUB
DUB"
281,Cardfight!! Vanguard: will+Dress Season 2,Ep 12/12,"SUB
DUB"
282,"Record of Ragnarok II, Part 1",Ep 10/10,"SUB
DUB"
283,Junji Ito Maniac: Japanese Tales of the Macabre,Ep 12/12,"SUB
DUB"
284,Make My Day,Ep 8/8,"SUB
DUB"
285,Scissor Seven Season 4,Ep 10/10,"SUB
DUB"
286,"Suddenly, Egyptian Gods Season 2",Ep 10/10,SUB
287,Lupin the 3rd vs Cat's Eye,Ep 1/1,SUB
288,Aiyou's Secret Room,Ep 16/16,SUB
289,What's Wrong with My Big Brother,Ep 13/13,SUB
290,Yao-Chinese Folktales,Ep 6/8,SUB
291,The Dining of Link Lee 2nd Season,Ep 10/10,SUB
292,The Dining of Link Lee,Ep 10/10,SUB
293,I Like How You Hate Me but Can't Get Rid of Me,Ep 13/13,SUB
294,Painting Rivers and Lakes 6,Ep 12/12,SUB
295,The Westward: The Kingdom of Shadow,Ep 1/1,SUB
296,Stand My Heroes: Warmth of Memories,Ep 1/1,SUB
297,Sasaki and Miyano: Graduation Arc,Ep Full,SUB
298,Gridman Universe,Ep Full,SUB
299,Soukyuu no Fafner: Behind the Line,Ep Full,SUB
300,The Klutzy Witch: Fuuka and the Dark Witch,Ep Full,SUB
301,Doraemon: Nobita's Sky Utopia,Ep 1,SUB
302,The Ice Guy and His Cool Female Colleague,Ep 12/12,"SUB
DUB"
303,Kubo Won't Let Me Be Invisible,Ep 12/12,SUB
304,Teasing Master Takagi-san: The Movie,Ep Full,SUB
305,The Way of the Househusband Season 2,Ep 5/5,"SUB
DUB"
306,Spy Classroom,Ep 12/12,SUB
307,The Angel Next Door Spoils Me Rotten,Ep 12/12,SUB
308,Tomo-chan Is a Girl!,Ep 13/13,"SUB
DUB"
309,NieR:Automata Ver1.1a,Ep 12/12,"SUB
DUB"
310,Onimai: I'm Now Your Sister!,Ep 12/12,SUB
311,Lee's Detective Agency: A Day in Lungmen,Ep 6/6,SUB
312,Tokyo Revengers: Christmas Showdown,Ep 13/13,"SUB
DUB"
313,Lupin Zero,Ep 6/6,SUB
314,By the Grace of the Gods Season 2,Ep 12/12,"SUB
DUB"
315,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,Ep 11/11,"SUB
DUB"
316,Bungo Stray Dogs 4,Ep 13/13,"SUB
DUB"
317,Vinland Saga: 2nd Season,Ep 24/24,"SUB
DUB"
318,The Three-Body Problem,Ep 15/15,SUB
319,One Piece Film: Red,Ep Full,"SUB
DUB"
320,Me & Roboco,Ep 28/28,SUB
321,Lookism,Ep 8/8,"SUB
DUB"
322,Dragon Ball Super: Super Hero,Ep Full,"SUB
DUB"
323,Hanako,Ep Full,SUB
324,JoJo's Bizarre Adventure: Stone Ocean Part 3,Ep 14/14,"SUB
DUB"
325,The Infinitors,Ep 16/16,SUB
326,Apotheosis,Ep 52/52,SUB
327,Tonikawa: Over the Moon for You - Uniform,Ep 1/1,"SUB
DUB"
328,Tonikawa: Over The Moon For You: 2nd Season,Ep 12/12,"SUB
DUB"
329,Detective Conan Movie 25: The Bride of Halloween,Ep Full,SUB
330,Detective Conan: Love Story at Police Headquarters - Wedding Eve,Ep 1/1,SUB
331,Blood and heart: The legendary life of a Japanese youth in China,Ep 12/12,SUB
332,Kagejitsu!,Ep 17/17,SUB
333,The Land of Miracles,Ep 15/15,SUB
334,Road of Naruto,Ep 1/1,SUB
335,Exception,Ep 8/8,"SUB
DUB"
336,Peter Grill and the Philosopher's Time: Super Extra (Uncensored),Ep 12/12,SUB
337,One Piece - Wano Kuni SP,Ep 13,SUB
338,Immoral Guild (Uncensored),Ep 12/12,SUB
339,The Story of Fengzhi Senla,Ep 20/20,SUB
340,Punirunes,Ep 25/25,SUB
341,Lucifer and the Biscuit Hammer Recap,Ep 1/1,SUB
342,Ginga Eiyuu Densetsu: Die Neue These 4th Season,Ep 12/12,SUB
343,Shadowverse Flame Special Episode,Ep 3/3,SUB
344,No Doubt In Us 2nd Season,Ep 24/24,SUB
345,Legend of Mana -The Teardrop Crystal-,Ep 12/12,SUB
346,Eternal Boys,Ep 24/24,SUB
347,Berserk: The Golden Age Arc - Memorial Edition,Ep 13/13,"SUB
DUB"
348,Detective Conan: The Culprit Hanzawa,Ep 12/12,"SUB
DUB"
349,Pui Pui Molcar: Driving School,Ep 12/12,SUB
350,Reiwa no Di Gi Charat,Ep 16/16,SUB
351,Megaton-kyuu Musashi 2nd Season,Ep 15/15,SUB
352,The Human Crazy University,Ep 12/12,SUB
353,The Daily Life of the Immortal King 3,Ep 12/12,"SUB
DUB"
354,The Seven Deadly Sins: Grudge of Edinburgh,Ep 1/1,"SUB
DUB"
355,Romantic Killer,Ep 12/12,"SUB
DUB"
356,Tiger & Bunny 2 Part 2,Ep 12/12,"SUB
DUB"
357,Forty Millenniums of Cultivation,Ep 16/16,SUB
358,I Have Refined Qi For 3000 Years!,Ep 16/16,SUB
359,The Sword of Dawn,Ep 16/16,SUB
360,That Time I Got Reincarnated as a Slime: The Movie - Scarlet Bond,Ep Full,"SUB
DUB"
361,Suzume’s Door-Locking,Ep Full,"SUB
DUB"
362,Sword Art Online: Progressive - Scherzo of Deep Night,Ep Full,"SUB
DUB"
363,To Every You I've Loved Before,Ep Full,SUB
364,"To Me, The One Who Loved You",Ep Full,SUB
365,The Solitary Castle in the Mirror,Ep Full,"SUB
DUB"
366,Muv-Luv Alternative 2nd Season,Ep 12/12,SUB
367,"My Life After I Became a Dummy Head Mic One Morning, Aru Asa Dummy Head Mike ni Natteita Ore-kun no Jinsei",Ep 12/12,SUB
368,Akiba Maid War,Ep 12/12,"SUB
DUB"
369,My Master Has No Tail,Ep 13/13,SUB
370,Saint Cecilia and Pastor Lawrence,Ep 12/12,"SUB
DUB"
371,My Unique Skill Makes Me OP Even at Level 1,Ep 12/12,"SUB
DUB"
372,The Most Heretical Last Boss Queen: From Villainess to Savior,Ep 12/12,"SUB
DUB"
373,"Sugar Apple Fairy Tale, Part 2",Ep 12/12,"SUB
DUB"
374,Atelier Ryza: Ever Darkness & the Secret Hideout The Animation,Ep 12/12,SUB
375,Helck,Ep 24/24,"SUB
DUB"
376,Undead Murder Farce,Ep 13/13,SUB
377,TenPuru: No One Can Live on Loneliness,Ep 12/12,"SUB
DUB"
378,The Masterful Cat Is Depressed Again Today,Ep 13/13,SUB
379,The Great Cleric,Ep 12/12,"SUB
DUB"
380,The Gene of AI,Ep 12/12,SUB
381,Sweet Reincarnation,Ep 12/12,"SUB
DUB"
382,Spy Classroom Season 2,Ep 12/12,SUB
383,Ayaka: A Story of Bonds and Wounds,Ep 12/12,"SUB
DUB"
384,Mononogatari 2nd Season,Ep 12/12,SUB
385,Level 1 Demon Lord and One Room Hero,Ep 12/12,SUB
386,Synduality: Noir,Ep 12/12,SUB
387,Yami Shibai 11,Ep 13/13,SUB
388,Noble Farmer,Ep 12/12,SUB
389,Cardfight!! Vanguard: will+Dress Season 3,Ep 13/13,"SUB
DUB"
390,Shadowverse Flame: Seven Shadows-hen,Ep 25/25,SUB
391,Link Click Season 2,Ep 12/12,"SUB
DUB"
392,Hanma Baki: Son of Ogre 2nd Season,Ep 27/27,"SUB
DUB"
393,TONIKAWA: Over The Moon For You - High School Days,Ep 4/4,"SUB
DUB"
394,Record of Ragnarok II Part 2,Ep 5/5,"SUB
DUB"
395,Kengan Ashura Season 2,Ep 12/12,"SUB
DUB"
396,"Bastar!! Heavy Metal, Dark Fantasy Season 2",Ep 15/15,"SUB
DUB"
397,Fog Hill of Five Elements 2nd Season,Ep 4/4,SUB
398,The Seven Deadly Sins: Grudge of Edinburgh Part 2,Ep 1/1,"SUB
DUB"
399,All Saints Street 4,Ep 12/12,SUB
400,Kyoukai Senki: Kyokkou no Souki,Ep 6/6,SUB
401,Agate,Ep 15/15,SUB
402,Spirit Wind Elegance 2nd Season,Ep 12/12,SUB
403,Immortality 2nd Season,Ep 12/12,SUB
404,Four-Panel Heroes,Ep 10/10,SUB
405,Fallen Mystic Master,Ep 15/15,SUB
406,The Land of Miracles 3rd Season,Ep 10/15,SUB
407,The Land of Miracles 2nd Season,Ep 15/15,SUB
408,The First Order,Ep 16/16,SUB
409,Soul of Light,Ep 14/14,SUB
410,Against the Gods (2023),Ep 30/30,SUB
411,Maboroshi,Ep Full,"SUB
DUB"
412,Sound! Euphonium: Ensemble Contest Arc,Ep Full,SUB
413,Kaina of the Great Snow Sea: Star Sage,Ep Full,SUB
414,Resident Evil: Death Island,Ep Full,DUB
415,Fate/strange Fake: Whispers of Dawn,Ep 1/1,SUB
416,Zom 100: Bucket List of the Dead,Ep 12/12,"SUB
DUB"
417,Rent-a-Girlfriend Season 3,Ep 12/12,"SUB
DUB"
418,Horimiya: The Missing Pieces,Ep 13/13,"SUB
DUB"
419,Bleach: Thousand-Year Blood War - The Separation,Ep 13/13,"SUB
DUB"
420,Masamune-kun's Revenge R,Ep 12/12,"SUB
DUB"
421,Mushoku Tensei: Jobless Reincarnation Season 2,Ep 12/12,"SUB
DUB"
422,Yohane the Parhelion: Sunshine in the Mirror,Ep 13/13,SUB
423,Soul Land 2: Peerless Tang Sect,Ep 47/54,SUB
424,BanG Dream! It's MyGO!!!!!,Ep 13/13,SUB
425,Bungo Stray Dogs 5,Ep 11/11,"SUB
DUB"
426,Jujutsu Kaisen 2nd Season,Ep 23/23,"SUB
DUB"
427,Detective Conan Movie: The Story of Haibara Ai - Black Iron Mystery Train,Ep Full,SUB
428,Tsurune Movie: Hajimari no Issha,Ep Full,SUB
429,Bastions,Ep 5/5,SUB
430,My Star: Specials,Ep 1/1,SUB
431,Mashle: Magic and Muscles (Specials),Ep 1/1,SUB
432,Laid-Back Camp Season 2 Specials,Ep 2/2,SUB
433,Backflip!! The Movie,Ep Full,SUB
